Show Number,Artist,Track Title
7,DJ Weight Problem,Disco Horse
7,Young MC,Bust A Move
7,Groove Armada,I See You Baby
8,Ol' Dirty Bastard,Got Your Money
8,Beastie Boys,So Wat'cha Want
8,Beastie Boys,Alive (Bentley's Rhythm Ace Remix)
8,LL Cool J,I'm Bad
8,Jackson 5,ABC
8,Jackson 5,I Want You Back
8,Placebo,Pure Morning (Les Rythmes Digitales Remix)
8,Talk Talk,Life Is What You Make It
8,Sly Fox,Let's Go All The Way
8,Malcolm McLaren,Buffalo Gals
8,Natural Born Chillers,Rock The Funky Beat
8,Kolk,Uma (Soulwax Remix)
8,Les Poppys,"Non, Non, Rien N'a Changé"
8,Dakar & Grinser,I Wanna Be Your Dog
8,Nik Kershaw,Dancing Girls
8,Michael Moog,That Sound (Extended Vocal Mix)
8,Art Of Noise,Close (To The Edit)
9,Raw Sex,Suck It Deep (Intro)
9,The Jets,Crush On You
9,Mr. Oizo,Flat Beat
9,Azzido Da Bass,Dooms Night
9,Michael Jackson,Thriller
9,Laurent Garnier,Man With The Red Face
9,Basement Jaxx,Fly Life
9,Evelyn Thomas,High Energy
9,Moloko,Sing It Back (Mousse T's Feel Love Mix)
9,Yello,Bostich
9,Rude Ass Tinker,U Can't Touch This
9,Rolling Stones,Sympathy For The Devil
9,Spiller,Groovejet
9,Alan Braxe & Fred Falke,Running (Intro)
9,Sir Drew,Shave It
9,Detroit Grand Pubahs,Sandwiches
9,Michael Jackson,Billie Jean
9,Armand Van Helden,The Funk Phenomena
9,Madonna,Music
9,Daft Punk,Musique
9,Birdy,Oiseau Bleu
9,Jackson 5,Shake Your Body Down To The Ground
9,Groove Armada,I See You Baby
9,Eminem,My Name Is
9,The Jam,Start
9,Lego,El Ritmo De Verdad
9,Fatboy Slim,Star 69
10,The Fucking Dewaele Brothers,Intro
10,School,Ain't No Love
10,Mirwais,Naive Song (Dave Clarke Remix)
10,Paul Jacobs,Motocross Madness
10,Sugababes,Overload
10,Wiseguys,Ooh La La
10,Freak Power,No Way
10,RhythmKillaz,Wack Ass M.F.
10,Cylob,Rewind
10,Artful Dodger,Re-Rewind
10,Wacko Bass vs Michael Jackson,Dirty Diana
10,Air Frog,Bon Voyage
10,Minus 8,Badman And Throbin'
10,Kraftwerk,Tour De France
10,Samantha Fu,Theme From Discotheque
10,DJ Cutz,Good Life
10,Phoenix,If I Ever Feel Better (Buffalo Bunch Remix)
10,Blur,Music Is My Radar
10,Bentley Rhythm Ace,How'd I Do That (Chicken Lips 3 Course Dub)
